Character Name,Line ID,Path,Ch Name Diff,Character ID,Character Name (copy),Main Character,Name in Caps,Relation,Relation - Negative,Relation - Negative (copy 2),Relation - Neutral,Relation - Neutral (copy),Relation - Positive,Relation - Positive (copy 2),Relation Sentiment,Relationship,Set ID,Synergy Type,URL,1,Number of Records,S.No.,X,Y
Wolverine,183,2,Wolverine,115,Wolverine,Cyclops (New Xavier School),WOLVERINE,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Cyclops (New Xavier School) - ,21,Reciprocal,,1,1,366,1012.556946,6377.866699
Daredevil,184,1,,22,Daredevil,Daredevil,DAREDEVIL,Romance,,,,,,Romance,Positive,,22,Reciprocal,,1,1,367,8132.098145,6354.504883
Elektra,184,2,Elektra,32,Elektra,Daredevil,ELEKTRA,Romance,,,,,Romance,Romance,Positive,Relationship with Daredevil - ,22,Reciprocal,,1,1,368,5078.605957,7032.006836
Daredevil,185,1,,22,Daredevil,Daredevil,DAREDEVIL,Bane of Hell's Kitchen,,,,Bane of Hell's Kitchen,,,Neutral,,22,Normal,,1,1,369,8132.098145,6354.504883
Kingpin,185,2,Kingpin,60,Kingpin,Daredevil,KINGPIN,Bane of Hell's Kitchen,,,Bane of Hell's Kitchen,Bane of Hell's Kitchen,,,Neutral,Relationship with Daredevil - ,22,Normal,,1,1,370,9650.933594,3410.873779
Daredevil,186,1,,22,Daredevil,Daredevil,DAREDEVIL,Teammates,,,,,,Teammates,Positive,,22,Normal,,1,1,371,8132.098145,6354.504883
Luke Cage,186,2,Luke Cage,62,Luke Cage,Daredevil,LUKE CAGE,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Daredevil - ,22,Normal,,1,1,372,7784.031738,1939.058472
Daredevil,187,1,,22,Daredevil,Daredevil,DAREDEVIL,Rivals,,Rivals,,,,,Negative,,22,Reciprocal,,1,1,373,8132.098145,6354.504883
Punisher,187,2,Punisher,79,Punisher,Daredevil,PUNISHER,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Daredevil - ,22,Reciprocal,,1,1,374,1392.265869,8784.167969
Daredevil,188,1,,22,Daredevil,Daredevil,DAREDEVIL,Legal Defence,,,,Legal Defence,,,Neutral,,22,Normal,,1,1,375,8132.098145,6354.504883
She-Hulk,188,2,She-Hulk,90,She-Hulk,Daredevil,SHE-HULK,Legal Defence,,,Legal Defence,Legal Defence,,,Neutral,Relationship with Daredevil - ,22,Normal,,1,1,376,3164.240479,9648.719727
Daredevil (Classic),189,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Romance,,,,,,Romance,Positive,,23,Normal,,1,1,377,6106.984375,8316.924805
Black Widow,189,2,Black Widow,10,Black Widow,Daredevil (Classic),BLACK WIDOW,Romance,,,,,Romance,Romance,Positive,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,378,3148.419189,2359.577148
Daredevil (Classic),190,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Romance,,,,,,Romance,Positive,,23,Reciprocal,,1,1,379,6106.984375,8316.924805
Elektra,190,2,Elektra,32,Elektra,Daredevil (Classic),ELEKTRA,Romance,,,,,Romance,Romance,Positive,Relationship with Daredevil (Classic) - ,23,Reciprocal,,1,1,380,5078.605957,7032.006836
Daredevil (Classic),191,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Friends,,,,,,Friends,Positive,,23,Normal,,1,1,381,6106.984375,8316.924805
Iron Fist (Immortal),191,2,Iron Fist (Immortal),51,Iron Fist (Immortal),Daredevil (Classic),IRON FIST (IMMORTAL),Friends,,,,,Friends,Friends,Positive,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,382,4809.645508,6985.282715
Daredevil (Classic),192,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Bane of Hell's Kitchen,,,,Bane of Hell's Kitchen,,,Neutral,,23,Normal,,1,1,383,6106.984375,8316.924805
Kingpin,192,2,Kingpin,60,Kingpin,Daredevil (Classic),KINGPIN,Bane of Hell's Kitchen,,,Bane of Hell's Kitchen,Bane of Hell's Kitchen,,,Neutral,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,384,9650.933594,3410.873779
Daredevil (Classic),193,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Teammates,,,,,,Teammates,Positive,,23,Normal,,1,1,385,6106.984375,8316.924805
Luke Cage,193,2,Luke Cage,62,Luke Cage,Daredevil (Classic),LUKE CAGE,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,386,7784.031738,1939.058472
Daredevil (Classic),194,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Teammates,,,,,,Teammates,Positive,,23,Normal,,1,1,387,6106.984375,8316.924805
Moon Knight,194,2,Moon Knight,69,Moon Knight,Daredevil (Classic),MOON KNIGHT,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,388,506.2784729,747.5888062
Daredevil (Classic),195,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Rivals,,Rivals,,,,,Negative,,23,Normal,,1,1,389,6106.984375,8316.924805
Punisher,195,2,Punisher,79,Punisher,Daredevil (Classic),PUNISHER,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,390,1392.265869,8784.167969
Daredevil (Classic),196,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Legal Defence,,,,Legal Defence,,,Neutral,,23,Normal,,1,1,391,6106.984375,8316.924805
She-Hulk,196,2,She-Hulk,90,She-Hulk,Daredevil (Classic),SHE-HULK,Legal Defence,,,Legal Defence,Legal Defence,,,Neutral,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,392,3164.240479,9648.719727
Daredevil (Classic),197,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Enemies,,Enemies,,,,,Negative,,23,Normal,,1,1,393,6106.984375,8316.924805
Spider-Gwen,197,2,Spider-Gwen,91,Spider-Gwen,Daredevil (Classic),SPIDER-GWEN,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Daredevil (Classic) - ,23,Normal,,1,1,394,2784.531738,8573.90918
Daredevil (Classic),198,1,,23,Daredevil (Classic),Daredevil (Classic),DAREDEVIL (CLASSIC),Rivals,,Rivals,,,,,Negative,,23,Reciprocal,,1,1,395,6106.984375,8316.924805
Superior Iron Man,198,2,Superior Iron Man,98,Superior Iron Man,Daredevil (Classic),SUPERIOR IRON MAN,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Daredevil (Classic) - ,23,Reciprocal,,1,1,396,648.6693115,2219.404297
Deadpool,199,1,,24,Deadpool,Deadpool,DEADPOOL,Enemies,,Enemies,,,,,Negative,,24,Normal,,1,1,397,3543.949463,4228.548828
Black Panther,199,2,Black Panther,8,Black Panther,Deadpool,BLACK PANTHER,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,398,5964.593262,7102.093262
Deadpool,200,1,,24,Deadpool,Deadpool,DEADPOOL,Enemies,,Enemies,,,,,Negative,,24,Normal,,1,1,399,3543.949463,4228.548828
Cable,200,2,Cable,12,Cable,Deadpool,CABLE,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,400,7768.210449,6494.677734
Deadpool,201,1,,24,Deadpool,Deadpool,DEADPOOL,Enemies,,Enemies,,,,,Negative,,24,Normal,,1,1,401,3543.949463,4228.548828
Carnage,201,2,Carnage,16,Carnage,Deadpool,CARNAGE,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,402,4066.049072,4835.964844
Deadpool,202,1,,24,Deadpool,Deadpool,DEADPOOL,Rivals,,Rivals,,,,,Negative,,24,Normal,,1,1,403,3543.949463,4228.548828
Deadpool (X-Force),202,2,Deadpool (X-Force),25,Deadpool (X-Force),Deadpool,DEADPOOL (X-FORCE),Rivals,Rivals,Rivals,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,404,9255.40332,5022.862305
Deadpool,203,1,,24,Deadpool,Deadpool,DEADPOOL,Teammates,,,,,,Teammates,Positive,,24,Normal,,1,1,405,3543.949463,4228.548828
Elektra,203,2,Elektra,32,Elektra,Deadpool,ELEKTRA,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Deadpool - ,24,Normal,,1,1,406,5078.605957,7032.006836
Deadpool,204,1,,24,Deadpool,Deadpool,DEADPOOL,Teammates,,,,,,Teammates,Positive,,24,Normal,,1,1,407,3543.949463,4228.548828
Ghost Rider,204,2,Ghost Rider,36,Ghost Rider,Deadpool,GHOST RIDER,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Deadpool - ,24,Normal,,1,1,408,6043.699219,6611.488281
Deadpool,205,1,,24,Deadpool,Deadpool,DEADPOOL,Idol,,,,,,Idol,Positive,,24,Normal,,1,1,409,3543.949463,4228.548828
Gwenpool,205,2,Gwenpool,40,Gwenpool,Deadpool,GWENPOOL,Idol,,,,,Idol,Idol,Positive,Relationship with Deadpool - ,24,Normal,,1,1,410,1186.59021,1541.901855
Deadpool,206,1,,24,Deadpool,Deadpool,DEADPOOL,Chair Larceny,,,,Chair Larceny,,,Neutral,,24,Normal,,1,1,411,3543.949463,4228.548828
M.O.D.O.K.,206,2,M.O.D.O.K.,63,M.O.D.O.K.,Deadpool,M.O.D.O.K.,Chair Larceny,,,Chair Larceny,Chair Larceny,,,Neutral,Relationship with Deadpool - ,24,Normal,,1,1,412,5980.414551,537.3294678
Deadpool,207,1,,24,Deadpool,Deadpool,DEADPOOL,Rivals,,Rivals,,,,,Negative,,24,Normal,,1,1,413,3543.949463,4228.548828
Moon Knight,207,2,Moon Knight,69,Moon Knight,Deadpool,MOON KNIGHT,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,414,506.2784729,747.5888062
Deadpool,208,1,,24,Deadpool,Deadpool,DEADPOOL,Family,,,,,,Family,Positive,,24,Normal,,1,1,415,3543.949463,4228.548828
Old Man Logan,208,2,Old Man Logan,76,Old Man Logan,Deadpool,OLD MAN LOGAN,Family,,,,,Family,Family,Positive,Relationship with Deadpool - ,24,Normal,,1,1,416,1202.411377,5560.191406
Deadpool,209,1,,24,Deadpool,Deadpool,DEADPOOL,Teammates,,,,,,Teammates,Positive,,24,Normal,,1,1,417,3543.949463,4228.548828
Punisher,209,2,Punisher,79,Punisher,Deadpool,PUNISHER,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Deadpool - ,24,Normal,,1,1,418,1392.265869,8784.167969
Deadpool,210,1,,24,Deadpool,Deadpool,DEADPOOL,Enemies,,Enemies,,,,,Negative,,24,Normal,,1,1,419,3543.949463,4228.548828
Rhino,210,2,Rhino,83,Rhino,Deadpool,RHINO,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,420,7942.243652,9485.032227
Deadpool,211,1,,24,Deadpool,Deadpool,DEADPOOL,Mutant Agenda,,,,,,Mutant Agenda,Positive,,24,Normal,,1,1,421,3543.949463,4228.548828
Rogue,211,2,Rogue,85,Rogue,Deadpool,ROGUE,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Deadpool - ,24,Normal,,1,1,422,221.4968414,2639.922852
Deadpool,212,1,,24,Deadpool,Deadpool,DEADPOOL,Nemesis,,Nemesis,,,,,Negative,,24,Normal,,1,1,423,3543.949463,4228.548828
Thanos,212,2,Thanos,100,Thanos,Deadpool,THANOS,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Deadpool - ,24,Normal,,1,1,424,4762.182129,7569.336426
Deadpool,213,1,,24,Deadpool,Deadpool,DEADPOOL,Friends,,,,,,Friends,Positive,,24,Normal,,1,1,425,3543.949463,4228.548828
Venompool,213,2,Venompool,108,Venompool,Deadpool,VENOMPOOL,Friends,,,,,Friends,Friends,Positive,Relationship with Deadpool - ,24,Normal,,1,1,426,9033.90625,4929.413574
Deadpool,214,1,,24,Deadpool,Deadpool,DEADPOOL,Family,,,,,,Family,Positive,,24,Normal,,1,1,427,3543.949463,4228.548828
Wolverine,214,2,Wolverine,115,Wolverine,Deadpool,WOLVERINE,Family,,,,,Family,Family,Positive,Relationship with Deadpool - ,24,Normal,,1,1,428,1012.556946,6377.866699
Deadpool (X-Force),215,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Enemies,,Enemies,,,,,Negative,,25,Normal,,1,1,429,9255.40332,5022.862305
Cable,215,2,Cable,12,Cable,Deadpool (X-Force),CABLE,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,430,7768.210449,6494.677734
Deadpool (X-Force),216,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Enemies,,Enemies,,,,,Negative,,25,Normal,,1,1,431,9255.40332,5022.862305
Carnage,216,2,Carnage,16,Carnage,Deadpool (X-Force),CARNAGE,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,432,4066.049072,4835.964844
Deadpool (X-Force),217,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Rivals,,Rivals,,,,,Negative,,25,Normal,,1,1,433,9255.40332,5022.862305
Deadpool,217,2,Deadpool,24,Deadpool,Deadpool (X-Force),DEADPOOL,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,434,3543.949463,4228.548828
Deadpool (X-Force),218,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Teammates,,,,,,Teammates,Positive,,25,Normal,,1,1,435,9255.40332,5022.862305
Elektra,218,2,Elektra,32,Elektra,Deadpool (X-Force),ELEKTRA,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,436,5078.605957,7032.006836
Deadpool (X-Force),219,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Idol,,,,,,Idol,Positive,,25,Normal,,1,1,437,9255.40332,5022.862305
Gwenpool,219,2,Gwenpool,40,Gwenpool,Deadpool (X-Force),GWENPOOL,Idol,,,,,Idol,Idol,Positive,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,438,1186.59021,1541.901855
Deadpool (X-Force),220,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Friends,,,,,,Friends,Positive,,25,Normal,,1,1,439,9255.40332,5022.862305
Magneto (Marvel Now!),220,2,Magneto (Marvel Now!),66,Magneto (Marvel Now!),Deadpool (X-Force),MAGNETO (MARVEL NOW!),Friends,,,,,Friends,Friends,Positive,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,440,6676.547363,9321.498047
Deadpool (X-Force),221,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Rivals,,Rivals,,,,,Negative,,25,Reciprocal,,1,1,441,9255.40332,5022.862305
Moon Knight,221,2,Moon Knight,69,Moon Knight,Deadpool (X-Force),MOON KNIGHT,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Deadpool (X-Force) - ,25,Reciprocal,,1,1,442,506.2784729,747.5888062
Deadpool (X-Force),222,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Nemesis,,Nemesis,,,,,Negative,,25,Normal,,1,1,443,9255.40332,5022.862305
Thanos,222,2,Thanos,100,Thanos,Deadpool (X-Force),THANOS,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,444,4762.182129,7569.336426
Deadpool (X-Force),223,1,,25,Deadpool (X-Force),Deadpool (X-Force),DEADPOOL (X-FORCE),Friends,,,,,,Friends,Positive,,25,Normal,,1,1,445,9255.40332,5022.862305
Venompool,223,2,Venompool,108,Venompool,Deadpool (X-Force),VENOMPOOL,Friends,,,,,Friends,Friends,Positive,Relationship with Deadpool (X-Force) - ,25,Normal,,1,1,446,9033.90625,4929.413574
Doctor Octopus,224,1,,26,Doctor Octopus,Doctor Octopus,DOCTOR OCTOPUS,Biochemistry,,,,Biochemistry,,,Neutral,,26,Normal,,1,1,447,1455.550659,5069.586426
Ant-Man,224,2,Ant-Man,4,Ant-Man,Doctor Octopus,ANT-MAN,Biochemistry,,,Biochemistry,Biochemistry,,,Neutral,Relationship with Doctor Octopus - ,26,Normal,,1,1,448,8227.025391,9578.481445
Doctor Octopus,225,1,,26,Doctor Octopus,Doctor Octopus,DOCTOR OCTOPUS,Particle Physics,,,,Particle Physics,,,Neutral,,26,Normal,,1,1,449,1455.550659,5069.586426
Electro,225,2,Electro,31,Electro,Doctor Octopus,ELECTRO,Particle Physics,,,Particle Physics,Particle Physics,,,Neutral,Relationship with Doctor Octopus - ,26,Normal,,1,1,450,9302.867188,4742.516113
Doctor Octopus,226,1,,26,Doctor Octopus,Doctor Octopus,DOCTOR OCTOPUS,Masterminds,,,,Masterminds,,,Neutral,,26,Normal,,1,1,451,1455.550659,5069.586426
M.O.D.O.K.,226,2,M.O.D.O.K.,63,M.O.D.O.K.,Doctor Octopus,M.O.D.O.K.,Masterminds,,,Masterminds,Masterminds,,,Neutral,Relationship with Doctor Octopus - ,26,Normal,,1,1,452,5980.414551,537.3294678
Doctor Octopus,227,1,,26,Doctor Octopus,Doctor Octopus,DOCTOR OCTOPUS,Nemesis,,Nemesis,,,,,Negative,,26,Normal,,1,1,453,1455.550659,5069.586426
Spider-Man (Stark Enhanced),227,2,Spider-Man (Stark Enhanced),94,Spider-Man (Stark Enhanced),Doctor Octopus,SPIDER-MAN (STARK ENHANCED),Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Doctor Octopus - ,26,Normal,,1,1,454,3195.882813,4625.705566
Doctor Octopus,228,1,,26,Doctor Octopus,Doctor Octopus,DOCTOR OCTOPUS,Engineering,,,,Engineering,,,Neutral,,26,Normal,,1,1,455,1455.550659,5069.586426
Vulture,228,2,Vulture,112,Vulture,Doctor Octopus,VULTURE,Engineering,,,Engineering,Engineering,,,Neutral,Relationship with Doctor Octopus - ,26,Normal,,1,1,456,2768.710449,3854.754639
Doctor Strange,229,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Teammates,,,,,,Teammates,Positive,,27,Normal,,1,1,457,3306.631348,1985.782715
Black Bolt,229,2,Black Bolt,7,Black Bolt,Doctor Strange,BLACK BOLT,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Doctor Strange - ,27,Normal,,1,1,458,3148.419189,3901.479004
Doctor Strange,230,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Rivals,,Rivals,,,,,Negative,,27,Normal,,1,1,459,3306.631348,1985.782715
Doctor Voodoo,230,2,Doctor Voodoo,28,Doctor Voodoo,Doctor Strange,DOCTOR VOODOO,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Doctor Strange - ,27,Normal,,1,1,460,3480.664551,3994.92749
Doctor Strange,231,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Nemesis,,Nemesis,,,,,Negative,,27,Normal,,1,1,461,3306.631348,1985.782715
Dormammu,231,2,Dormammu,29,Dormammu,Doctor Strange,DORMAMMU,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Doctor Strange - ,27,Normal,,1,1,462,205.5592346,8994.427734
Doctor Strange,232,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Enemies,,Enemies,,,,,Negative,,27,Normal,,1,1,463,3306.631348,1985.782715
Hyperion,232,2,Hyperion,48,Hyperion,Doctor Strange,HYPERION,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Doctor Strange - ,27,Normal,,1,1,464,411.3512573,8013.217285
Doctor Strange,233,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Friends,,,,,,Friends,Positive,,27,Normal,,1,1,465,3306.631348,1985.782715
Iron Fist,233,2,Iron Fist,50,Iron Fist,Doctor Strange,IRON FIST,Friends,,,,,Friends,Friends,Positive,Relationship with Doctor Strange - ,27,Normal,,1,1,466,4603.969727,2733.371582
Doctor Strange,234,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Friends,,,,,,Friends,Positive,,27,Normal,,1,1,467,3306.631348,1985.782715
Iron Fist (Immortal),234,2,Iron Fist (Immortal),51,Iron Fist (Immortal),Doctor Strange,IRON FIST (IMMORTAL),Friends,,,,,Friends,Friends,Positive,Relationship with Doctor Strange - ,27,Normal,,1,1,468,4809.645508,6985.282715
Doctor Strange,235,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Nemesis,,Nemesis,,,,,Negative,,27,Normal,,1,1,469,3306.631348,1985.782715
Juggernaut,235,2,Juggernaut,55,Juggernaut,Doctor Strange,JUGGERNAUT,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Doctor Strange - ,27,Normal,,1,1,470,1218.232544,8643.995117
Doctor Strange,236,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Pact With A Demon,,,,Pact With A Demon,,,Neutral,,27,Normal,,1,1,471,3306.631348,1985.782715
Mephisto,236,2,Mephisto,68,Mephisto,Doctor Strange,MEPHISTO,Pact With A Demon,,,Pact With A Demon,Pact With A Demon,,,Neutral,Relationship with Doctor Strange - ,27,Normal,,1,1,472,3449.022217,8433.736328
Doctor Strange,237,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Rivals,,Rivals,,,,,Negative,,27,Perfect,,1,1,473,3306.631348,1985.782715
Mordo,237,2,Mordo,70,Mordo,Doctor Strange,MORDO,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Doctor Strange - ,27,Perfect,,1,1,474,7167.004883,8176.752441
Doctor Strange,238,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Teammates,,,,,,Teammates,Positive,,27,Normal,,1,1,475,3306.631348,1985.782715
Scarlet Witch,238,2,Scarlet Witch,87,Scarlet Witch,Doctor Strange,SCARLET WITCH,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Doctor Strange - ,27,Normal,,1,1,476,2563.034912,6798.385742
Doctor Strange,239,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Friends,,,,,,Friends,Positive,,27,Normal,,1,1,477,3306.631348,1985.782715
Spider-Man (Classic),239,2,Spider-Man (Classic),92,Spider-Man (Classic),Doctor Strange,SPIDER-MAN (CLASSIC),Friends,,,,,Friends,Friends,Positive,Relationship with Doctor Strange - ,27,Normal,,1,1,478,2705.425537,9438.308594
Doctor Strange,240,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Friends,,,,,,Friends,Positive,,27,Reciprocal,,1,1,479,3306.631348,1985.782715
Thor,240,2,Thor,101,Thor,Doctor Strange,THOR,Friends,,,,,Friends,Friends,Positive,Relationship with Doctor Strange - ,27,Reciprocal,,1,1,480,6834.759277,410.8025208
Doctor Strange,241,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Enemies,,Enemies,,,,,Negative,,27,Normal,,1,1,481,3306.631348,1985.782715
Void,241,2,Void,111,Void,Doctor Strange,VOID,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Doctor Strange - ,27,Normal,,1,1,482,4255.90332,9555.119141
Doctor Strange,242,1,,27,Doctor Strange,Doctor Strange,DOCTOR STRANGE,Friends,,,,,,Friends,Positive,,27,Normal,,1,1,483,3306.631348,1985.782715
Wolverine (X-23),242,2,Wolverine (X-23),116,Wolverine (X-23),Doctor Strange,WOLVERINE (X-23),Friends,,,,,Friends,Friends,Positive,Relationship with Doctor Strange - ,27,Normal,,1,1,484,2705.425537,7452.525879
Doctor Voodoo,243,1,,28,Doctor Voodoo,Doctor Voodoo,DOCTOR VOODOO,Rivals,,Rivals,,,,,Negative,,28,Normal,,1,1,485,3480.664551,3994.92749
Doctor Strange,243,2,Doctor Strange,27,Doctor Strange,Doctor Voodoo,DOCTOR STRANGE,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Doctor Voodoo - ,28,Normal,,1,1,486,3306.631348,1985.782715
Doctor Voodoo,244,1,,28,Doctor Voodoo,Doctor Voodoo,DOCTOR VOODOO,Enemies,,Enemies,,,,,Negative,,28,Normal,,1,1,487,3480.664551,3994.92749
Dormammu,244,2,Dormammu,29,Dormammu,Doctor Voodoo,DORMAMMU,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Doctor Voodoo - ,28,Normal,,1,1,488,205.5592346,8994.427734
Doctor Voodoo,245,1,,28,Doctor Voodoo,Doctor Voodoo,DOCTOR VOODOO,Enemies,,Enemies,,,,,Negative,,28,Normal,,1,1,489,3480.664551,3994.92749
Guillotine,245,2,Guillotine,39,Guillotine,Doctor Voodoo,GUILLOTINE,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Doctor Voodoo - ,28,Normal,,1,1,490,7135.362305,5910.624023
Doctor Voodoo,246,1,,28,Doctor Voodoo,Doctor Voodoo,DOCTOR VOODOO,Teammates,,,,,,Teammates,Positive,,28,Normal,,1,1,491,3480.664551,3994.92749
Rogue,246,2,Rogue,85,Rogue,Doctor Voodoo,ROGUE,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Doctor Voodoo - ,28,Normal,,1,1,492,221.4968414,2639.922852
Doctor Voodoo,247,1,,28,Doctor Voodoo,Doctor Voodoo,DOCTOR VOODOO,Enemies,,Enemies,,,,,Negative,,28,Normal,,1,1,493,3480.664551,3994.92749
The Hood,247,2,The Hood,43,The Hood,Doctor Voodoo,THE HOOD,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Doctor Voodoo - ,28,Normal,,1,1,494,4002.76416,3410.873779
Doctor Voodoo,248,1,,28,Doctor Voodoo,Doctor Voodoo,DOCTOR VOODOO,Friends,,,,,,Friends,Positive,,28,Normal,,1,1,495,3480.664551,3994.92749
Winter Soldier,248,2,Winter Soldier,114,Winter Soldier,Doctor Voodoo,WINTER SOLDIER,Friends,,,,,Friends,Friends,Positive,Relationship with Doctor Voodoo - ,28,Normal,,1,1,496,1471.371826,8153.390137
Dormammu,249,1,,29,Dormammu,Dormammu,DORMAMMU,Demon Hunter,,,,Demon Hunter,,,Neutral,,29,Normal,,1,1,497,205.5592346,8994.427734
Blade,249,2,Blade,11,Blade,Dormammu,BLADE,Demon Hunter,,,Demon Hunter,Demon Hunter,,,Neutral,Relationship with Dormammu - ,29,Normal,,1,1,498,8796.588867,8807.530273
Dormammu,250,1,,29,Dormammu,Dormammu,DORMAMMU,Nemesis,,Nemesis,,,,,Negative,,29,Normal,,1,1,499,205.5592346,8994.427734
Doctor Strange,250,2,Doctor Strange,27,Doctor Strange,Dormammu,DOCTOR STRANGE,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Dormammu - ,29,Normal,,1,1,500,3306.631348,1985.782715
Dormammu,251,1,,29,Dormammu,Dormammu,DORMAMMU,Enemies,,Enemies,,,,,Negative,,29,Normal,,1,1,501,205.5592346,8994.427734
Doctor Voodoo,251,2,Doctor Voodoo,28,Doctor Voodoo,Dormammu,DOCTOR VOODOO,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Dormammu - ,29,Normal,,1,1,502,3480.664551,3994.92749
Dormammu,252,1,,29,Dormammu,Dormammu,DORMAMMU,Hell Lords,,,,Hell Lords,,,Neutral,,29,Normal,,1,1,503,205.5592346,8994.427734
Hela,252,2,Hela,42,Hela,Dormammu,HELA,Hell Lords,,,Hell Lords,Hell Lords,,,Neutral,Relationship with Dormammu - ,29,Normal,,1,1,504,7973.88623,8690.719727
